_merge_key,stop_name,boardings,alightings,passengers,route_count,lat,lon,district,total_riders,boardings_per_route,hourly_pattern_boardings,morning_boardings,evening_boardings,peak_hour,peak_hour_label,morning_concentration,evening_concentration,boarding_alighting_diff,boarding_alighting_imbalance,stop_type
name:LH13단지아파트앞|,LH13단지아파트앞,28,384,384,1.0,35.88189712,128.7524566,동구,412,28.0,0.0,0.0,0.0,5.0,5시,,,-356,0.8640776699029126,저이용형
name:LH14단지아파트|,LH14단지아파트,50588,8444,8444,1.0,35.88273945,128.7520217,동구,59032,50588.0,1655.0,709.0,120.0,8.0,8시,42.839879154078545,7.250755287009064,42144,0.7139178750508199,출근형
name:LH천년나무2단지건너|,LH천년나무2단지건너,6998,7101,7101,1.0,35.6902683,128.4532689,달성군,14099,6998.0,211.0,73.0,32.0,7.0,7시,34.59715639810427,15.165876777251185,-103,0.007305482658344563,출근형
name:LH천년나무2단지앞|,LH천년나무2단지앞,27239,1871,1871,1.0,35.69068898,128.4530571,달성군,29110,27239.0,911.0,246.0,223.0,18.0,18시,27.0032930845225,24.478594950603732,25368,0.8714531088972861,출근형
name:NH농협혁신도시지점건너|,NH농협혁신도시지점건너,265,5099,5099,1.0,35.87760517,128.7325665,동구,5364,265.0,0.0,0.0,0.0,5.0,5시,,,-4834,0.901193139448173,저이용형
name:NH농협혁신도시지점앞|,NH농협혁신도시지점앞,95341,9220,9220,1.0,35.87786753,128.732595,동구,104561,95341.0,3174.0,179.0,1201.0,18.0,18시,5.639571518588532,37.838689350976686,86121,0.8236436147320703,퇴근형
name:SD아이프라임강북아파트|,SD아이프라임강북아파트,175084,10056,10056,4.0,35.95041775,128.5527221,북구,185140,43771.0,5840.0,1781.0,1038.0,7.0,7시,30.496575342465754,17.773972602739725,165028,0.8913686939613266,출근형
name:SK리더스뷰건너|,SK리더스뷰건너,182605,44950,44950,3.0,35.840208,128.6208946,수성구,227555,60868.333333333336,6366.0,1048.0,1796.0,17.0,17시,16.462456801759345,28.212378259503613,137655,0.6049306761002834,퇴근형
name:SK리더스뷰앞|,SK리더스뷰앞,132114,49602,49602,3.0,35.83983107,128.6222095,수성구,181716,44038.0,4581.0,617.0,1169.0,16.0,16시,13.468674961798735,25.51844575420214,82512,0.45407118800766033,퇴근형
name:STX메탈건너|,STX메탈건너,27865,73883,73883,5.0,35.84636667,128.4922233,달서구,101748,5573.0,512.0,44.0,273.0,17.0,17시,8.59375,53.3203125,-46018,0.45227424617682904,퇴근형
name:STX메탈앞|,STX메탈앞,767,24919,24919,5.0,35.84620167,128.491765,달서구,25686,153.4,1.0,0.0,1.0,17.0,17시,0.0,100.0,-24152,0.9402787510706221,저이용형
name:TBC건너|,TBC건너,319912,25053,25053,6.0,35.83258192,128.6237775,수성구,344965,53318.666666666664,10916.0,1691.0,3017.0,18.0,18시,15.491022352510079,27.6383290582631,294859,0.8547504819329497,퇴근형
name:TBC앞|,TBC앞,97836,96265,96265,6.0,35.83233735,128.6231363,수성구,194101,16306.0,3500.0,899.0,903.0,8.0,8시,25.685714285714283,25.8,1571,0.008093724401213802,출퇴근형
name:e-편한세상월배건너|,e-편한세상월배건너,39268,2861,2861,1.0,35.82736067,128.5235014,달서구,42129,39268.0,1291.0,496.0,212.0,7.0,7시,38.41982958946553,16.421378776142525,36407,0.8641790690498231,출근형
name:e-편한세상월배앞|,e-편한세상월배앞,4951,4974,4974,1.0,35.82737755,128.5232509,달서구,9925,4951.0,125.0,28.0,1.0,16.0,16시,22.400000000000002,0.8,-23,0.0023173803526448365,생활형
name:e편한세상대구금호건너|,e편한세상대구금호건너,240819,2918,2918,4.0,35.89888833,128.5096983,북구,243737,60204.75,7995.0,2911.0,1081.0,7.0,7시,36.41025641025641,13.520950594121325,237901,0.9760561588925768,출근형
name:e편한세상대구금호앞|,e편한세상대구금호앞,6079,14350,14350,3.0,35.899555,128.5095583,북구,20429,2026.3333333333333,185.0,37.0,46.0,15.0,15시,20.0,24.864864864864867,-8271,0.4048656321895345,생활형
name:㈜윔스건너|,㈜윔스건너,2737,10377,10377,1.0,35.81939,128.50738,달서구,13114,2737.0,72.0,6.0,62.0,20.0,20시,8.333333333333332,86.11111111111111,-7640,0.5825834985511666,퇴근형
name:㈜윔스앞|,㈜윔스앞,6246,1326,1326,1.0,35.819385,128.507685,달서구,7572,6246.0,183.0,14.0,140.0,20.0,20시,7.650273224043716,76.50273224043715,4920,0.6497622820919176,퇴근형
name:가산리|,가산리,526,14,14,,,,,540,,1.0,0.0,0.0,11.0,11시,0.0,0.0,512,0.9481481481481482,저이용형
name:가산면행정복지센터|,가산면행정복지센터,583,317,317,,,,,900,,1.0,0.0,0.0,10.0,10시,0.0,0.0,266,0.29555555555555557,저이용형
name:가산산성 진남문|,가산산성 진남문,346,133,133,,,,,479,,4.0,0.0,2.0,13.0,13시,0.0,50.0,213,0.44467640918580376,저이용형
name:가산산성주차장앞|,가산산성주차장앞,1251,123,123,,,,,1374,,7.0,2.0,0.0,14.0,14시,28.57142857142857,0.0,1128,0.8209606986899564,저이용형
name:가산평생학습복지센터건너|,가산평생학습복지센터건너,476,87,87,,,,,563,,12.0,0.0,0.0,15.0,15시,0.0,0.0,389,0.6909413854351687,저이용형
name:가암1리|,가암1리,3411,37,37,2.0,36.1799625,128.8411875,군위군,3448,1705.5,91.0,49.0,0.0,7.0,7시,53.84615384615385,0.0,3374,0.978538283062645,출근형
name:가암2리|,가암2리,218,3,3,1.0,36.189400835,128.84323165,군위군,221,218.0,3.0,3.0,0.0,7.0,7시,100.0,0.0,215,0.9728506787330317,저이용형
name:가암리|,가암리,52,30,30,2.0,36.17088,128.8408483,군위군,82,26.0,0.0,0.0,0.0,5.0,5시,,,22,0.2682926829268293,저이용형
name:가좌교차로|,가좌교차로,1313,132,132,,,,,1445,,21.0,6.0,5.0,16.0,16시,28.57142857142857,23.809523809523807,1181,0.8173010380622837,저이용형
name:가좌삼거리|,가좌삼거리,238,294,294,,,,,532,,0.0,0.0,0.0,5.0,5시,,,-56,0.10526315789473684,저이용형
name:가창119안전센터|,가창119안전센터,13717,3134,3134,2.0,35.76203247,128.6513783,달성군,16851,6858.5,443.0,121.0,56.0,16.0,16시,27.313769751693002,12.641083521444695,10583,0.6280339445730224,출근형
name:가창농협건너|,가창농협건너,58247,47225,47225,6.0,35.80459667,128.6231267,달성군,105472,9707.833333333334,2340.0,367.0,526.0,12.0,12시,15.683760683760683,22.47863247863248,11022,0.10450166868932038,생활형
